time,1day_active_users
2015-07-27 00:00:00-04:00,17345.0
2015-07-28 00:00:00-04:00,17337.0
2015-07-29 00:00:00-04:00,17402.0
2015-07-30 00:00:00-04:00,17984.0
2015-07-31 00:00:00-04:00,15634.0
2015-08-01 00:00:00-04:00,12211.0
2015-08-02 00:00:00-04:00,12332.0
2015-08-03 00:00:00-04:00,16708.0
2015-08-04 00:00:00-04:00,18324.0
2015-08-05 00:00:00-04:00,18283.0
2015-08-06 00:00:00-04:00,16523.0
2015-08-07 00:00:00-04:00,16291.0
2015-08-08 00:00:00-04:00,13509.0
2015-08-09 00:00:00-04:00,13605.0
2015-08-10 00:00:00-04:00,17946.0
2015-08-11 00:00:00-04:00,19139.0
2015-08-12 00:00:00-04:00,18725.0
2015-08-13 00:00:00-04:00,20139.0
2015-08-14 00:00:00-04:00,19266.0
2015-08-15 00:00:00-04:00,17141.0
2015-08-16 00:00:00-04:00,19467.0
2015-08-17 00:00:00-04:00,22204.0
2015-08-18 00:00:00-04:00,22259.0
2015-08-19 00:00:00-04:00,22238.0
2015-08-20 00:00:00-04:00,22001.0
2015-08-21 00:00:00-04:00,20470.0
2015-08-22 00:00:00-04:00,17697.0
2015-08-23 00:00:00-04:00,19615.0
2015-08-24 00:00:00-04:00,22161.0
2015-08-25 00:00:00-04:00,21706.0
2015-08-26 00:00:00-04:00,21590.0
2015-08-27 00:00:00-04:00,21564.0
2015-08-28 00:00:00-04:00,20404.0
2015-08-29 00:00:00-04:00,16130.0
2015-08-30 00:00:00-04:00,17750.0
2015-08-31 00:00:00-04:00,21746.0
2015-09-01 00:00:00-04:00,21679.0
2015-09-02 00:00:00-04:00,21983.0
2015-09-03 00:00:00-04:00,21797.0
2015-09-04 00:00:00-04:00,20567.0
2015-09-05 00:00:00-04:00,17955.0
2015-09-06 00:00:00-04:00,16260.0
2015-09-07 00:00:00-04:00,18047.0
2015-09-08 00:00:00-04:00,21975.0
2015-09-09 00:00:00-04:00,22142.0
2015-09-10 00:00:00-04:00,21687.0
2015-09-11 00:00:00-04:00,21022.0
2015-09-12 00:00:00-04:00,17107.0
2015-09-13 00:00:00-04:00,17988.0
2015-09-14 00:00:00-04:00,21920.0
2015-09-15 00:00:00-04:00,21837.0
2015-09-16 00:00:00-04:00,21499.0
2015-09-17 00:00:00-04:00,21258.0
2015-09-18 00:00:00-04:00,19700.0
2015-09-19 00:00:00-04:00,17404.0
2015-09-20 00:00:00-04:00,17577.0
2015-09-21 00:00:00-04:00,21192.0
2015-09-22 00:00:00-04:00,20920.0
2015-09-23 00:00:00-04:00,20773.0
2015-09-24 00:00:00-04:00,20675.0
2015-09-25 00:00:00-04:00,19842.0
2015-09-26 00:00:00-04:00,16631.0
2015-09-27 00:00:00-04:00,17963.0
2015-09-28 00:00:00-04:00,21234.0
2015-09-29 00:00:00-04:00,21049.0
2015-09-30 00:00:00-04:00,21142.0
2015-10-01 00:00:00-04:00,20936.0
2015-10-02 00:00:00-04:00,20291.0
2015-10-03 00:00:00-04:00,17028.0
2015-10-04 00:00:00-04:00,17831.0
2015-10-05 00:00:00-04:00,21203.0
2015-10-06 00:00:00-04:00,21026.0
2015-10-07 00:00:00-04:00,21119.0
2015-10-08 00:00:00-04:00,21050.0
2015-10-09 00:00:00-04:00,19385.0
2015-10-10 00:00:00-04:00,15350.0
2015-10-11 00:00:00-04:00,15013.0
2015-10-12 00:00:00-04:00,18677.0
2015-10-13 00:00:00-04:00,20237.0
2015-10-14 00:00:00-04:00,21265.0
2015-10-15 00:00:00-04:00,20993.0
2015-10-16 00:00:00-04:00,19707.0
2015-10-17 00:00:00-04:00,15918.0
2015-10-18 00:00:00-04:00,17368.0
2015-10-19 00:00:00-04:00,21134.0
2015-10-20 00:00:00-04:00,21318.0
2015-10-21 00:00:00-04:00,21002.0
2015-10-22 00:00:00-04:00,20585.0
2015-10-23 00:00:00-04:00,19561.0
2015-10-24 00:00:00-04:00,19673.0
2015-10-25 00:00:00-04:00,17661.0
2015-10-26 00:00:00-04:00,21236.0
2015-10-27 00:00:00-04:00,21224.0
2015-10-28 00:00:00-04:00,20989.0
2015-10-29 00:00:00-04:00,20728.0
2015-10-30 00:00:00-04:00,19685.0
2015-10-31 00:00:00-04:00,15401.0
