,time,metric_name,metric_value
79,2015-03-23T00:00:00.000-0400,google.gmail:num_1day_pop_users,214
80,2015-03-23T00:00:00.000-0400,google.gmail:num_1day_webmail_users,12300
81,2015-03-23T00:00:00.000-0400,google.gmail:num_30day_active_users,23980
82,2015-03-23T00:00:00.000-0400,google.gmail:num_30day_imap_users,12339
83,2015-03-23T00:00:00.000-0400,google.gmail:num_30day_pop_users,265
84,2015-03-23T00:00:00.000-0400,google.gmail:num_30day_webmail_users,21780
85,2015-03-23T00:00:00.000-0400,google.gmail:num_7day_active_users,22329
86,2015-03-23T00:00:00.000-0400,google.gmail:num_7day_imap_users,11508
87,2015-03-23T00:00:00.000-0400,google.gmail:num_7day_pop_users,234
88,2015-03-23T00:00:00.000-0400,google.gmail:num_7day_webmail_users,18220
89,2015-03-23T00:00:00.000-0400,google.gmail:num_emails_exchanged,527020
90,2015-03-23T00:00:00.000-0400,google.gmail:num_emails_received,474483
91,2015-03-23T00:00:00.000-0400,google.gmail:num_emails_sent,52537
92,2015-03-23T00:00:00.000-0400,google.gmail:num_inbound_delivered_emails,209035
93,2015-03-23T00:00:00.000-0400,google.gmail:num_inbound_encrypted_emails,77262
94,2015-03-23T00:00:00.000-0400,google.gmail:num_inbound_non_spam_emails,177446
95,2015-03-23T00:00:00.000-0400,google.gmail:num_inbound_rejected_emails,2
96,2015-03-23T00:00:00.000-0400,google.gmail:num_inbound_rerouted_emails,7064
97,2015-03-23T00:00:00.000-0400,google.gmail:num_inbound_spam_emails,31718
98,2015-03-23T00:00:00.000-0400,google.gmail:num_inbound_unencrypted_emails,131902
99,2015-03-23T00:00:00.000-0400,google.gmail:num_outbound_delivered_emails,0
100,2015-03-23T00:00:00.000-0400,google.gmail:num_outbound_encrypted_emails,26144
101,2015-03-23T00:00:00.000-0400,google.gmail:num_outbound_rejected_emails,667
102,2015-03-23T00:00:00.000-0400,google.gmail:num_outbound_rerouted_emails,26072
103,2015-03-23T00:00:00.000-0400,google.gmail:num_outbound_unencrypted_emails,22
104,2015-03-23T00:00:00.000-0400,google.gplus:num_1day_active_users,1334
105,2015-03-23T00:00:00.000-0400,google.gplus:num_30day_active_users,6133
106,2015-03-23T00:00:00.000-0400,google.gplus:num_7day_active_users,3425
107,2015-03-23T00:00:00.000-0400,google.gplus:num_video_calls,160
108,2015-03-23T00:00:00.000-0400,google.gplus:num_video_conferences,66
109,2015-03-23T00:00:00.000-0400,google.gplus:total_video_call_minutes,5475
110,2015-03-23T00:00:00.000-0400,google.sites:num_sites,9104
111,2015-03-23T00:00:00.000-0400,google.sites:num_sites_created,2
112,2015-03-24T00:00:00.000-0400,google.accounts:drive_used_quota_in_mb,9642866
113,2015-03-24T00:00:00.000-0400,google.accounts:gmail_used_quota_in_mb,29226034
114,2015-03-24T00:00:00.000-0400,google.accounts:gplus_photos_used_quota_in_mb,660147
115,2015-03-24T00:00:00.000-0400,google.accounts:num_1day_logins,16591
116,2015-03-24T00:00:00.000-0400,google.accounts:num_30day_logins,24069
117,2015-03-24T00:00:00.000-0400,google.accounts:num_7day_logins,21666
118,2015-03-24T00:00:00.000-0400,google.accounts:num_authorized_apps,2401
119,2015-03-24T00:00:00.000-0400,google.accounts:num_delegated_admins,25
120,2015-03-24T00:00:00.000-0400,google.accounts:num_disabled_accounts,34126
121,2015-03-24T00:00:00.000-0400,google.accounts:num_locked_users,1
122,2015-03-24T00:00:00.000-0400,google.accounts:num_super_admins,11
123,2015-03-24T00:00:00.000-0400,google.accounts:num_suspended_users,34125
124,2015-03-24T00:00:00.000-0400,google.accounts:num_users,64051
125,2015-03-24T00:00:00.000-0400,google.accounts:num_users_2sv_enforced,0
