time,google.accounts:drive_used_quota_in_mb,google.accounts:gmail_used_quota_in_mb,google.accounts:gplus_photos_used_quota_in_mb
2015-06-23,14202710.450429957,49285934.8858255,700972.3005214557
2015-06-24,14254317.85864848,49533619.73515021,701702.8850486284
2015-06-25,14305438.527796619,49767523.103330284,702306.5746608054
2015-06-26,14356650.61089989,49989622.17373661,702373.1832097559
2015-06-27,14397440.625066888,50212987.633339666,702663.3128134765
2015-06-28,14441760.586382445,50140407.65492265,703472.4170530445
2015-06-29,14493786.428362353,50082832.96999765,704184.7272788509
2015-06-30,14549108.12531309,50034588.99965116,704901.4481647956
2015-07-01,14606594.926600648,49985757.629906915,705738.4645851358
2015-07-02,14664113.428089978,49924572.88337934,706452.815847839
2015-07-03,14722278.917270156,49852962.44438766,706635.857048583
2015-07-04,14770299.017661193,49783814.53884482,707054.5850652903
2015-07-05,14816280.953932622,49730639.200835414,707651.0752945293
2015-07-06,14870697.066393519,49692299.75958459,708168.2416087278
2015-07-07,14928972.602895385,49662824.53533966,708710.8850366487
2015-07-08,14989886.2971414,49632035.28354241,709398.2587755248
2015-07-09,15051174.682493268,49587937.057611436,709988.6663321475
2015-07-10,15113385.43226194,49532180.39282733,710073.4935558707
2015-07-11,15165348.95265658,49477349.28082215,710424.943233267
2015-07-12,15215290.49358343,49436685.04007025,710985.769904507
2015-07-13,15273856.808486078,49408907.116399795,711498.0292326338
2015-07-14,15336252.249408137,49387973.71530437,712066.8058078908
2015-07-15,15401128.197114633,49363708.90165318,712811.094371188
2015-07-16,15466075.372097252,49324180.01857333,713486.6017267366
2015-07-17,15531580.260219557,49271073.11185573,713680.73806758
2015-07-18,15586125.02374665,49216993.998715356,714166.8552157326
2015-07-19,15638104.072632132,49175246.377643235,714884.3784396652
2015-07-20,15698410.719338108,49144733.44208897,715570.6453112294
2015-07-21,15762119.675695814,49119659.04550471,716327.4110556853
2015-07-22,15827862.721545195,49090145.37955512,717270.1399421544
2015-07-23,15893205.751111919,49044590.419698074,718149.0977235824
2015-07-24,15958704.460053999,48984949.8140545,718545.37923796
2015-07-25,16012628.295827085,48924045.20835759,719231.7151707596
2015-07-26,16063676.881370405,48875391.8533966,720143.0516213279
2015-07-27,16123121.867592728,48838177.51401965,721011.5134179527
2015-07-28,16186030.99626144,48806901.96626049,721935.7049863368
2015-07-29,16251125.289913412,48771984.42699669,723028.4121301981
2015-07-30,16316036.393275883,48722101.59073536,724035.9672169988
2015-07-31,16381457.513186634,48659377.918115176,724535.2775232487
2015-08-01,16435487.977928901,48596704.46379056,725301.1480009682
2015-08-02,16487146.794112284,48547620.44429089,726267.2403436729
2015-08-03,16548067.803823369,48511374.992113486,727164.0784963339
2015-08-04,16613264.339676382,48482511.46265268,728091.0508991445
2015-08-05,16681467.948478257,48451471.836684436,729162.4191290562
2015-08-06,16750267.065132119,48406923.109120764,730124.8457014611
2015-08-07,16820355.27569245,48350864.05887903,730555.3094292948
2015-08-08,16879499.564668294,48295962.75609085,731234.829993379
2015-08-09,16936855.03649774,48255500.133633204,732099.6950106756
2015-08-10,17004218.273264576,48228522.27364076,732882.4020690847
2015-08-11,17076338.2245299,48209376.644112,733686.2654901337
2015-08-12,17151742.709039103,48188319.832335055,734629.6465508379
2015-08-13,17227765.098281275,48153837.71029368,735461.572653767
2015-08-14,17304896.824573927,48107673.03287471,735760.4845655169
2015-08-15,17370438.936384197,48132202.79725134,737186.763485388
2015-08-16,17433466.851004977,48170413.908584915,738807.4973318833
2015-08-19,17659844.520211883,48333364.54402464,743677.1899532157
2015-08-20,17736874.004875336,48373173.83142893,745318.3093021903
2015-08-21,17813254.89712057,48399859.92305728,746435.3377544292
2015-08-22,17875799.29484704,48425763.546168156,747825.2628089784
2015-08-23,17933740.12175207,48463965.676713705,749426.107537733
2015-08-24,17999112.293132603,48513405.08908203,750966.4687628493
2015-08-25,18066164.46549932,48568358.68511985,752551.7928615831
2015-08-26,18133167.596905276,48619021.015631035,754302.3634607774
2015-08-27,18197220.166529883,48653812.229163304,755959.4917601243
2015-08-28,18258808.44488172,48674524.78897177,757087.3147491321
2015-08-29,18304661.42413049,48693749.048866235,758489.4279976407
2015-08-30,18344482.654584765,48724835.53699275,760099.2567016659
2015-08-31,18390884.89029794,48766940.589190684,761638.0873502938
2015-09-01,18438340.78927763,48814542.35443928,763208.9435249915
2015-09-02,18485470.375596415,48858016.49473348,764930.0451679542
2015-09-03,18529722.52101256,48885948.05420274,766536.1144743898
2015-09-04,18572025.831597537,48900338.95675316,767582.8766213191
2015-09-05,18599258.376056965,48914016.530230686,768881.7070412748
2015-09-06,18621771.301808532,48940546.56283058,770363.3372810113
2015-09-07,18652869.746308234,48979209.0170271,771744.3392738396
2015-09-08,18687296.683632456,49024552.83378276,773128.5408032335
2015-09-09,18723995.103193555,49066971.959061794,774635.8781209514
2015-09-10,18760663.35826464,49095026.17886164,775998.7233448339
2015-09-11,18798496.190911423,49110715.18658964,776768.9802968785
2015-09-12,18824270.775398362,49126876.41362129,777770.6283956092
2015-09-14,18885293.435520023,49200419.48361917,779983.779104842
2015-09-15,18928725.247182652,49251356.34019256,781021.4452494836
