time,google.accounts:num_1day_logins ,google.accounts:num_7day_logins,google.accounts:num_30day_logins
2015-03-23,16535.80743725013,20359.007689195874,23869.181878461968
2015-03-24,16639.48067021339,20540.292894942148,23940.63313120121
2015-03-25,16487.611938433034,20697.375462019834,23944.807646473062
2015-03-26,16172.184906991663,20848.467321365653,23946.55529387876
2015-03-27,14736.281408926581,20979.42996843513,23944.526183800892
2015-03-28,11854.862595244165,21086.198509023994,23893.660803933937
2015-03-29,13298.657991966646,21246.43704841366,23898.51782686407
2015-03-30,17281.301545583254,21403.59016460936,24024.208608650653
2015-03-31,17297.81961702044,21495.59862415146,24118.49420753178
2015-04-01,17057.466694384682,21555.018763834123,24143.53652325549
2015-04-02,16654.420076146405,21603.411782373314,24163.581252741
2015-04-03,15135.709168104559,21629.708295026987,24176.809765010345
2015-04-04,12178.95055030092,21633.000280578137,24137.829600812758
2015-04-05,13546.48758187268,21694.883734233863,24150.89236627626
2015-04-06,17456.659327804082,21761.023440411,24280.953130220216
2015-04-07,17417.225527746097,21771.205732629813,24375.88133132597
2015-04-08,17131.6917385001,21760.47739542593,24398.003384106483
2015-04-09,16694.492111188603,21752.29942313918,24411.787798664638
2015-04-10,15154.359440057213,21736.621926663625,24415.792650392246
2015-04-11,12189.087423339943,21713.11000786078,24365.12901906398
2015-04-12,13550.001329802108,21764.25647778743,24364.54194635637
2015-04-13,17457.445055967153,21834.55697143086,24479.568933195438
2015-04-14,17429.2304074741,21862.008061289813,24558.840940495473
2015-04-15,17160.538388342535,21880.381933358694,24565.395386295557
2015-04-16,16743.67347823356,21911.265239364093,24564.345703782838
2015-04-17,15226.951939331006,21941.965641834508,24554.910556215924
2015-04-18,12286.56046897506,21969.289821158072,24492.84065041822
2015-04-19,13661.416662161879,22073.53772780159,24483.35775590858
2015-04-20,17572.920634305385,22195.389311975574,24592.412003916572
2015-04-21,17548.46129043835,22268.93591088872,24669.077387627465
2015-04-22,17274.911636414337,22325.162506809647,24676.644121309382
2015-04-23,16842.957042824848,22382.925092769,24680.285897943824
2015-04-24,15301.48878946424,22426.722165147952,24679.188000732167
2015-04-25,12326.5309381355,22451.036945850683,24628.958018237983
2015-04-26,13646.448088496752,22535.20355073321,24634.446216213382
2015-04-27,17485.905991945077,22617.974201204102,24761.127001732642
2015-04-28,17384.36782439873,22632.03207697889,24857.61560857945
2015-04-29,17023.10713902444,22608.610144442053,24886.567039597227
2015-04-30,16494.026645717953,22567.31888108533,24912.367980938707
2015-05-01,14849.468959627726,22493.68000735371,24933.389713414635
2015-05-02,11768.121772373659,22383.918703799154,24904.40682247746
2015-05-03,12970.483831021404,22320.57936740907,24929.320504700463
2015-05-04,16686.949047646704,22244.646532939245,25072.68264183495
2015-05-05,16471.21347821036,22091.41179033475,25182.34844611645
2015-05-06,16000.735262131826,21896.10500579868,25220.192665735853
2015-05-07,15369.984097203016,21682.455223189532,25249.832435598208
2015-05-08,13635.622078614244,21439.880028564115,25269.00669114169
2015-05-09,10479.354256889002,21168.63500888505,25231.999953528164
2015-05-10,11613.635202747268,20956.103072630955,25242.26111660627
2015-05-11,15273.874865793992,20746.41217458405,25364.058359292023
2015-05-12,15026.77054451495,20477.62033384653,25445.252001145058
2015-05-13,14544.243788437876,20188.345431012163,25447.80869428976
2015-05-14,13921.165429555651,19905.06784287695,25476.28515545537
2015-05-15,12215.96495788451,19619.007857808745,25487.96729749254
2015-05-16,9110.496900236236,19331.68459292194,25437.403175492436
2015-05-17,10306.068290030755,19131.952707251647,25429.016644763724
2015-05-18,14039.854131245691,18963.20867136005,25528.553273267305
2015-05-19,13888.247209505169,18762.001215741435,25583.930435145
2015-05-20,13514.367111141652,18565.77952362844,25557.496944684677
2015-05-21,13010.355318408981,18399.067091534205,25514.507246230103
2015-05-22,11433.504360462086,18250.159332376323,25454.084624505365
2015-05-23,8463.225084121728,18117.22929823999,25331.41747298883
2015-05-24,9787.471543097627,18086.243801158078,25253.146626366044
2015-05-25,13643.431614457995,18095.884292287854,25286.793100035262
