time,google.accounts:num_users,google.accounts:num_disabled_accounts,google.accounts:num_suspended_users
2015-03-23,63205.0980356826,33606.66628106208,33565.5484992245
2015-03-24,63343.283218968536,33674.57352124963,33634.9798221417
2015-03-25,63472.533266918654,33734.40122546376,33696.46708680079
2015-03-26,63600.05079212418,33834.19471174244,33797.63219986671
2015-03-27,63725.93000624856,33886.584529755855,33851.84075173917
2015-03-28,63839.78761015177,33943.52222430127,33910.4012245147
2015-03-29,63955.31818576414,34002.42368297265,33970.57227756453
2015-03-30,64089.02204447688,34063.49847121053,34033.073061747324
2015-03-31,64226.109032939574,34133.900494574315,34104.96925049965
2015-04-01,64354.686679851715,34196.23051450687,34168.89688056599
2015-04-02,64482.17220407357,34299.25288875304,34273.20887234307
2015-04-03,64608.76805566261,34354.11624659924,34329.76619130686
2015-04-04,64724.044750800254,34413.56863933766,34390.68542248348
2015-04-05,64841.95728904231,34474.94284295777,34453.140563215915
2015-04-06,64979.28222546563,34538.42213381912,34517.83590285848
2015-04-07,65121.06323408029,34611.258337509265,34591.940024049
2015-04-08,65255.25678606631,34675.76803089694,34657.80279449596
2015-04-09,65389.36063782858,34781.50700800832,34764.58585983763
2015-04-10,65523.53403434625,34838.22186842809,34822.730443756205
2015-04-11,65647.13616556679,34899.5414319082,34885.25002963304
2015-04-12,65774.20778655403,34962.80075490908,34949.32329335165
2015-04-13,65921.62208042566,35028.24008938112,35015.72617904402
2015-04-14,66074.07681136085,35103.2871451624,35091.81060282699
2015-04-15,66219.20249689928,35170.043986458484,35159.71152907877
2015-04-16,66364.4123289448,35278.916502483364,35269.45866256596
2015-04-17,66509.67184064849,35338.29454028144,35330.118489685665
2015-04-18,66643.99749373322,35402.71763619927,35395.63011587409
2015-04-19,66781.40758555669,35469.53627690047,35463.187889845154
2015-04-20,66938.79043796915,35539.04309186199,35533.631771259876
2015-04-21,67100.44601664877,35618.8189266459,35614.470402901876
2015-04-22,67253.65872354993,35690.71058886003,35687.57851674899
2015-04-23,67405.77005417184,35805.9160314922,35803.79064279028
2015-04-24,67556.59815880712,35871.39427072947,35870.71875780197
2015-04-25,67694.89609352949,35942.50717267807,35943.13315569609
2015-04-26,67834.77064827338,36016.52014681262,36018.137099201726
2015-04-27,67993.26562191328,36093.66814959898,36096.51821017457
2015-04-28,68154.44984417145,36181.568465303884,36185.8189613064
2015-04-29,68305.45077389055,36261.69243909136,36267.52770104057
2015-04-30,68453.74542302644,36385.909667582826,36393.15781789173
2015-05-01,68599.22480224032,36459.63106539381,36468.74449376832
2015-05-02,68730.60641605259,36538.93005108094,36549.77406998167
2015-05-03,68862.31532669313,36620.88590940421,36633.15406378805
2015-05-04,69011.77671687334,36705.58765026783,36719.52870621449
2015-05-05,69163.04455942723,36800.616269855935,36816.3996843437
2015-05-06,69303.29046732774,36887.01290028214,36904.81324886451
2015-05-07,69440.30768382373,37017.28403037334,37036.926866610804
2015-05-08,69574.21570935786,37095.27928475778,37117.18662724084
