time,google.accounts:num_users,google.accounts:drive_used_quota_in_mb
2019-04-20 04:00:00+00:00,105577,166925612.0
2019-04-21 04:00:00+00:00,105600,166972646.0
2019-04-22 04:00:00+00:00,105663,167110099.0
2019-04-23 04:00:00+00:00,105730,167368894.0
2019-04-24 04:00:00+00:00,105802,167513893.0
2019-04-25 04:00:00+00:00,105884,167169973.0
2019-04-26 04:00:00+00:00,105939,167353309.0
2019-04-27 04:00:00+00:00,105954,167372126.0
2019-04-28 04:00:00+00:00,105982,167474716.0
2019-04-29 04:00:00+00:00,106059,167727121.0
2019-04-30 04:00:00+00:00,106140,167953734.0
2019-05-01 04:00:00+00:00,106249,168362256.0
2019-05-02 04:00:00+00:00,106313,168742545.0
2019-05-03 04:00:00+00:00,106371,168912575.0
2019-05-04 04:00:00+00:00,106391,169022593.0
2019-05-05 04:00:00+00:00,106406,168945610.0
2019-05-06 04:00:00+00:00,106467,169144338.0
2019-05-07 04:00:00+00:00,106508,169291051.0
2019-05-08 04:00:00+00:00,106558,169533843.0
2019-05-09 04:00:00+00:00,106609,169714965.0
2019-05-10 04:00:00+00:00,106645,169702231.0
2019-05-11 04:00:00+00:00,106660,169728587.0
2019-05-12 04:00:00+00:00,106679,169748783.0
2019-05-13 04:00:00+00:00,106747,169814631.0
2019-05-14 04:00:00+00:00,106813,169904093.0
2019-05-15 04:00:00+00:00,106880,170179201.0
2019-05-16 04:00:00+00:00,106930,170336763.0
2019-05-17 04:00:00+00:00,106969,170393019.0
2019-05-18 04:00:00+00:00,106985,170358211.0
2019-05-19 04:00:00+00:00,107004,170497008.0
2019-05-20 04:00:00+00:00,107056,170647593.0
2019-05-21 04:00:00+00:00,107111,170764914.0
2019-05-22 04:00:00+00:00,107155,170880637.0
2019-05-23 04:00:00+00:00,107199,171195055.0
2019-05-24 04:00:00+00:00,107237,171181364.0
2019-05-24 04:00:00+00:00,107237,171181364.0
2019-05-24 04:00:00+00:00,107237,171181364.0
2019-05-24 04:00:00+00:00,107237,171181364.0
2019-05-25 04:00:00+00:00,107246,171200718.0
2019-05-25 04:00:00+00:00,107246,171200718.0
2019-05-25 04:00:00+00:00,107246,171200718.0
2019-05-25 04:00:00+00:00,107246,171200718.0
2019-05-26 04:00:00+00:00,107264,171213653.0
2019-05-27 04:00:00+00:00,107282,171231888.0
2019-05-28 04:00:00+00:00,107319,171560151.0
2019-05-29 04:00:00+00:00,107372,171656210.0
2019-05-30 04:00:00+00:00,107442,171710207.0
2019-05-31 04:00:00+00:00,107533,171812199.0
2019-06-01 04:00:00+00:00,107552,171855889.0
2019-06-02 04:00:00+00:00,107568,171857864.0
2019-06-03 04:00:00+00:00,107610,172043163.0
2019-06-04 04:00:00+00:00,107642,172155847.0
2019-06-05 04:00:00+00:00,107677,172514525.0
2019-06-06 04:00:00+00:00,107711,173035080.0
2019-06-07 04:00:00+00:00,107740,172968585.0
2019-06-08 04:00:00+00:00,107746,172975940.0
2019-06-09 04:00:00+00:00,107763,173007990.0
2019-06-10 04:00:00+00:00,107806,173035013.0
2019-06-11 04:00:00+00:00,107838,173061782.0
2019-06-12 04:00:00+00:00,107881,173019527.0
2019-06-13 04:00:00+00:00,107907,173011013.0
2019-06-14 04:00:00+00:00,107928,173041352.0
2019-06-15 04:00:00+00:00,107946,173057871.0
2019-06-16 04:00:00+00:00,107960,173076284.0
2019-06-17 04:00:00+00:00,108003,173207928.0
2019-06-18 04:00:00+00:00,108035,173411673.0
2019-06-19 04:00:00+00:00,108061,173604137.0
2019-06-20 04:00:00+00:00,108092,173601096.0
2019-06-21 04:00:00+00:00,108130,173774642.0
2019-06-22 04:00:00+00:00,108141,173779902.0
2019-06-23 04:00:00+00:00,108156,173782378.0
2019-06-24 04:00:00+00:00,108195,173912409.0
2019-06-25 04:00:00+00:00,108237,173888861.0
2019-06-26 04:00:00+00:00,108274,173983905.0
2019-06-27 04:00:00+00:00,108309,174104806.0
2019-06-28 04:00:00+00:00,108329,174178478.0
2019-06-29 04:00:00+00:00,108333,174246118.0
2019-06-30 04:00:00+00:00,108336,174257149.0
2019-07-01 04:00:00+00:00,108366,174312269.0
2019-07-02 04:00:00+00:00,108390,174374409.0
2019-07-03 04:00:00+00:00,108418,174660344.0
2019-07-04 04:00:00+00:00,108430,174672778.0
2019-07-05 04:00:00+00:00,108455,174690833.0
2019-07-06 04:00:00+00:00,108464,174738509.0
2019-07-07 04:00:00+00:00,108471,174755556.0
2019-07-08 04:00:00+00:00,108496,174814341.0
2019-07-09 04:00:00+00:00,108525,175194058.0
2019-07-10 04:00:00+00:00,108554,175354353.0
2019-07-11 04:00:00+00:00,108582,175293100.0
2019-07-12 04:00:00+00:00,108607,175343426.0
2019-07-13 04:00:00+00:00,108617,175364643.0
2019-07-14 04:00:00+00:00,108624,175392001.0
2019-07-15 04:00:00+00:00,108650,175431429.0
2019-07-16 04:00:00+00:00,108678,175464255.0
2019-07-17 04:00:00+00:00,108704,175474379.0
2019-07-18 04:00:00+00:00,108729,175588770.0
2019-07-19 04:00:00+00:00,108745,175724121.0
