time,TotalCallMinutes
2018-04-15T00:00:00.000-0400,0
2018-04-16T00:00:00.000-0400,0
2018-04-17T00:00:00.000-0400,0
2018-04-18T00:00:00.000-0400,0
2018-04-19T00:00:00.000-0400,0
2018-04-20T00:00:00.000-0400,0
2018-04-21T00:00:00.000-0400,0
2018-04-22T00:00:00.000-0400,0
2018-04-23T00:00:00.000-0400,0
2018-04-24T00:00:00.000-0400,0
2018-04-25T00:00:00.000-0400,0
2018-04-26T00:00:00.000-0400,89
2018-04-27T00:00:00.000-0400,0
2018-04-28T00:00:00.000-0400,0
2018-04-29T00:00:00.000-0400,0
2018-04-30T00:00:00.000-0400,0
2018-05-01T00:00:00.000-0400,0
2018-05-02T00:00:00.000-0400,0
2018-05-03T00:00:00.000-0400,148
2018-05-04T00:00:00.000-0400,0
2018-05-05T00:00:00.000-0400,0
2018-05-06T00:00:00.000-0400,0
2018-05-07T00:00:00.000-0400,0
2018-05-08T00:00:00.000-0400,0
2018-05-09T00:00:00.000-0400,0
2018-05-10T00:00:00.000-0400,235
2018-05-11T00:00:00.000-0400,0
2018-05-12T00:00:00.000-0400,0
2018-05-13T00:00:00.000-0400,0
2018-05-14T00:00:00.000-0400,0
2018-05-15T00:00:00.000-0400,0
2018-05-16T00:00:00.000-0400,0
2018-05-17T00:00:00.000-0400,0
2018-05-18T00:00:00.000-0400,0
2018-05-19T00:00:00.000-0400,0
2018-05-20T00:00:00.000-0400,0
2018-05-21T00:00:00.000-0400,0
2018-05-22T00:00:00.000-0400,0
2018-05-23T00:00:00.000-0400,0
2018-05-24T00:00:00.000-0400,3
2018-05-25T00:00:00.000-0400,463
2018-05-26T00:00:00.000-0400,0
2018-05-27T00:00:00.000-0400,0
2018-05-28T00:00:00.000-0400,272
2018-05-29T00:00:00.000-0400,959
2018-05-30T00:00:00.000-0400,555
2018-05-31T00:00:00.000-0400,883
2018-06-01T00:00:00.000-0400,782
2018-06-02T00:00:00.000-0400,0
2018-06-03T00:00:00.000-0400,241
2018-06-04T00:00:00.000-0400,268
2018-06-05T00:00:00.000-0400,602
2018-06-06T00:00:00.000-0400,832
2018-06-07T00:00:00.000-0400,1793
2018-06-08T00:00:00.000-0400,1825
2018-06-09T00:00:00.000-0400,202
2018-06-10T00:00:00.000-0400,0
2018-06-14T00:00:00.000-0400,621
2018-06-15T00:00:00.000-0400,935
2018-06-16T00:00:00.000-0400,21
2018-06-17T00:00:00.000-0400,241
2018-06-18T00:00:00.000-0400,799
2018-06-19T00:00:00.000-0400,1208
2018-06-20T00:00:00.000-0400,854
2018-06-21T00:00:00.000-0400,1771
2018-06-22T00:00:00.000-0400,1137
2018-06-23T00:00:00.000-0400,22
2018-06-24T00:00:00.000-0400,0
2018-06-25T00:00:00.000-0400,278
2018-06-26T00:00:00.000-0400,489
2018-06-27T00:00:00.000-0400,1129
2018-06-28T00:00:00.000-0400,392
2018-06-29T00:00:00.000-0400,196
2018-06-30T00:00:00.000-0400,88
2018-07-01T00:00:00.000-0400,0
2018-07-02T00:00:00.000-0400,421
2018-07-03T00:00:00.000-0400,2439
2018-07-04T00:00:00.000-0400,0
2018-07-05T00:00:00.000-0400,326
2018-07-06T00:00:00.000-0400,324
2018-07-07T00:00:00.000-0400,36
2018-07-08T00:00:00.000-0400,7
2018-07-09T00:00:00.000-0400,924
2018-07-10T00:00:00.000-0400,884
2018-07-11T00:00:00.000-0400,1054
2018-07-12T00:00:00.000-0400,1555
2018-07-13T00:00:00.000-0400,369
2018-07-14T00:00:00.000-0400,0
2018-07-15T00:00:00.000-0400,0
2018-07-18T00:00:00.000-0400,989
2018-07-19T00:00:00.000-0400,1344
2018-07-20T00:00:00.000-0400,276
2018-07-21T00:00:00.000-0400,0
2018-07-26T00:00:00.000-0400,152
2018-07-27T00:00:00.000-0400,624
2018-08-05T00:00:00.000-0400,0
2018-08-06T00:00:00.000-0400,478
