,time,num_meetings,num_calls,average_meeting_minutes,num_30day_active_users,total_meeting_minutes,total_call_minutes
0,2018-01-14,-0.025304168540099568,-0.153538098961828,-0.4412780662239522,0.044158321295705155,-0.9385487337034459,-6.6083655174439935
1,2018-01-15,-0.13470071967537503,-0.572179399420292,-0.37566797469868174,0.0411402699451646,-3.9361005826845847,-26.71584919754058
2,2018-01-16,-0.15522959641885295,-0.6059444703085155,-0.3334674765609054,0.03350556510990377,-4.872328613288858,-29.617592163739985
3,2018-01-17,-0.15581683723811204,-0.6047810238706106,-0.3797665419816102,0.028241456173431278,-5.182596654008957,-28.7550318646836
4,2018-01-18,-0.15455674812559528,-0.6026113963027424,-0.3882120556404403,0.024092205767590993,-4.879375310480505,-25.122152671037032
5,2018-01-19,-0.11950236431320736,-0.47449672165054446,-0.417257318815279,0.01902619198169664,-3.9391813651452763,-22.303411372404668
6,2018-01-20,-0.020486063629655576,-0.10133325676496109,-0.4629710267543428,0.011762171632731543,-0.5439181828151387,-3.080298158400852
7,2018-01-21,-0.05117538848590961,-0.237621297666838,-0.5387232638994792,0.004780587416273534,-2.108838904218729,-11.183222591307851
8,2018-01-22,-0.14719300279055192,-0.5974077298622543,-0.45773841366628165,-0.002693085031014778,-4.921737867422575,-28.670552169775135
9,2018-01-23,-0.1640580945288826,-0.6191792089560066,-0.39882799565198895,-0.010391042188825634,-5.7650940078966455,-30.880719142096204
10,2018-01-24,-0.1632127931382218,-0.6108772864535407,-0.4246171658510886,-0.01877316037987606,-6.009698520103951,-29.788469496107204
11,2018-01-25,-0.1607421778392116,-0.6023155812582246,-0.41491480482972976,-0.02894311185203718,-5.669248673912839,-26.297108061483684
12,2018-01-26,-0.12853880592383293,-0.48512586960168663,-0.42594523380100285,-0.040560719324472416,-4.723007710628919,-23.578181436314875
13,2018-01-27,-0.040320964400132144,-0.15722971042286693,-0.45430743875765084,-0.05007484775964086,-1.4421131369931197,-6.526556684729327
14,2018-01-28,-0.06616742836497985,-0.27126633865868827,-0.5130366807883685,-0.06109302162464803,-2.8843122604959497,-13.506284112197084
15,2018-01-29,-0.14897226138993358,-0.5772492574784205,-0.42431938291607707,-0.07538731667103593,-5.514501457602965,-28.67611125183305
16,2018-01-30,-0.16235243607318173,-0.592022106917833,-0.3588383964672787,-0.0851465601837335,-6.272630532750446,-30.50136348508117
17,2018-01-31,-0.16024252073571174,-0.5813003450517062,-0.376313279746297,-0.09825842404626767,-6.463369831853225,-29.47353488530224
18,2018-02-01,-0.1566987102590369,-0.5705968559716191,-0.3622403629966556,-0.1156596852929872,-6.100100722066114,-26.3903201228181
19,2018-02-02,-0.12743798594009417,-0.4679551891762131,-0.37012154929715557,-0.13462893394919623,-5.163353205516863,-23.997544398160095
20,2018-02-03,-0.05005441234879016,-0.18820087060720658,-0.39658866127303644,-0.14677824426447064,-2.012128635337049,-9.29312866097623
21,2018-02-04,-0.07103304904490958,-0.28203132759773675,-0.45385503485893597,-0.16180392244905317,-3.3454464482500987,-15.267174504136012
22,2018-02-05,-0.14053957105388262,-0.5353872742120589,-0.37260586266511925,-0.18248174820805482,-5.804277304593154,-28.174183806184292
23,2018-02-06,-0.1502939130214429,-0.5434709773437436,-0.31496820369926914,-0.19346875222313534,-6.48523508518359,-29.604774921612783
24,2018-02-07,-0.1467328907992526,-0.5298135677613565,-0.3373757172433736,-0.21009691049491905,-6.626298609790437,-28.568518009415754
25,2018-02-08,-0.14189768604329628,-0.515705407225187,-0.3306875606206231,-0.23315805960506772,-6.2402167050075095,-25.761654510404874
26,2018-02-09,-0.11534697767336412,-0.42571273215991795,-0.3454212635631364,-0.25757533305992775,-5.308717875201023,-23.51097576623006
27,2018-02-10,-0.04857046202042249,-0.1917030253004499,-0.3780468636111871,-0.2701543835111101,-2.278849634730129,-10.926406300659455
28,2018-02-12,-0.12053829871291984,-0.46041842474900996,-0.36990335027813526,-0.31107150475980133,-5.763778909583628,-25.99864640892996
29,2018-02-13,-0.12658715656314246,-0.45892567011756574,-0.3218490540907502,-0.3203912049857446,-6.35033304974252,-26.7467775891836
30,2018-02-14,-0.1215875423298311,-0.43964009390753245,-0.348894692226957,-0.33749114402987407,-6.423212196085981,-25.420197944750687
31,2018-02-15,-0.1155843596017941,-0.4198024600793973,-0.3474001803233598,-0.36306080262733287,-5.995589210375773,-22.626848992481857
